index,Timestamp,I,II,III,aVR,aVL,aVF,PPG,SPO2,PTT,HR,Ps,Pd
0,2015-04-24T09:13:25.980000,-0.054,-0.211,-0.156,0.134,0.052,-0.183,0.330708661,99,0.422,65,114,66
1,2015-04-24T09:13:25.982000,-0.057,-0.206,-0.148,0.131,0.047,-0.176,0.330708661,99,0.422,65,114,66
2,2015-04-24T09:13:25.984000,-0.039,-0.206,-0.166,0.124,0.064,-0.186,0.330708661,99,0.422,65,114,66
3,2015-04-24T09:13:25.986000,-0.049,-0.218,-0.168,0.134,0.059,-0.193,0.31496063,99,0.422,65,114,66
4,2015-04-24T09:13:25.988000,-0.067,-0.245,-0.178,0.156,0.057,-0.211,0.31496063,99,0.422,65,114,66
5,2015-04-24T09:13:25.990000,-0.027,-0.221,-0.193,0.124,0.084,-0.206,0.31496063,99,0.422,65,114,66
6,2015-04-24T09:13:25.992000,-0.007,-0.225,-0.218,0.116,0.106,-0.221,0.31496063,99,0.422,65,114,66
7,2015-04-24T09:13:25.994000,0.034,-0.171,-0.206,0.069,0.121,-0.188,0.31496063,99,0.422,65,114,66
8,2015-04-24T09:13:25.996000,0.037,-0.168,-0.206,0.067,0.121,-0.186,0.31496063,99,0.422,65,114,66
9,2015-04-24T09:13:25.998000,0.024,-0.141,-0.166,0.059,0.096,-0.153,0.31496063,99,0.422,65,114,66
10,2015-04-24T09:13:26.000000,0.024,-0.124,-0.148,0.049,0.086,-0.136,0.31496063,99,0.422,65,114,66
11,2015-04-24T09:13:26.002000,0.027,-0.119,-0.146,0.047,0.086,-0.131,0.307086614,99,0.422,65,114,66
12,2015-04-24T09:13:26.004000,0.019,-0.126,-0.146,0.054,0.084,-0.136,0.307086614,99,0.422,65,114,66
13,2015-04-24T09:13:26.006000,0.004,-0.146,-0.151,0.072,0.079,-0.148,0.307086614,99,0.422,65,114,66
14,2015-04-24T09:13:26.008000,0,-0.148,-0.148,0.074,0.074,-0.148,0.307086614,99,0.422,65,114,66
15,2015-04-24T09:13:26.010000,-0.004,-0.166,-0.161,0.086,0.079,-0.163,0.307086614,99,0.422,65,114,66
16,2015-04-24T09:13:26.012000,-0.034,-0.198,-0.163,0.116,0.064,-0.181,0.307086614,99,0.422,65,114,66
17,2015-04-24T09:13:26.014000,-0.024,-0.198,-0.173,0.111,0.074,-0.186,0.307086614,99,0.422,65,114,66
18,2015-04-24T09:13:26.016000,-0.034,-0.206,-0.171,0.121,0.069,-0.188,0.307086614,99,0.422,65,114,66
19,2015-04-24T09:13:26.018000,-0.039,-0.225,-0.186,0.134,0.074,-0.206,0.283464567,99,0.422,65,114,66
20,2015-04-24T09:16:13.980000,-0.044,0.176,0.221,-0.064,-0.131,0.198,0.377952756,98,0.422,67,116,70
21,2015-04-24T09:16:13.982000,-0.004,0.221,0.225,-0.106,-0.114,0.223,0.377952756,98,0.422,67,116,70
22,2015-04-24T09:16:13.984000,-0.014,0.211,0.225,-0.096,-0.119,0.218,0.377952756,98,0.422,67,116,70
23,2015-04-24T09:16:13.986000,-0.029,0.211,0.24,-0.089,-0.134,0.225,0.377952756,98,0.422,67,116,70
24,2015-04-24T09:16:13.988000,-0.002,0.221,0.223,-0.109,-0.111,0.223,0.377952756,98,0.422,67,116,70
25,2015-04-24T09:16:13.990000,-0.029,0.203,0.233,-0.086,-0.131,0.218,0.377952756,98,0.422,67,116,70
26,2015-04-24T09:16:13.992000,-0.024,0.196,0.221,-0.084,-0.121,0.208,0.377952756,98,0.422,67,116,70
27,2015-04-24T09:16:13.994000,-0.009,0.191,0.201,-0.089,-0.104,0.196,0.377952756,98,0.422,67,116,70
28,2015-04-24T09:16:13.996000,-0.042,0.178,0.221,-0.067,-0.131,0.201,0.377952756,98,0.422,67,116,70
29,2015-04-24T09:16:13.998000,-0.029,0.161,0.191,-0.064,-0.109,0.176,0.354330709,98,0.422,67,116,70
30,2015-04-24T09:16:14.000000,0.034,0.23,0.196,-0.131,-0.079,0.213,0.354330709,98,0.422,67,116,70
31,2015-04-24T09:16:14.002000,0.009,0.218,0.208,-0.114,-0.099,0.213,0.354330709,98,0.422,67,116,70
32,2015-04-24T09:16:14.004000,-0.009,0.201,0.211,-0.094,-0.109,0.206,0.354330709,98,0.422,67,116,70
33,2015-04-24T09:16:14.006000,0.004,0.198,0.193,-0.101,-0.094,0.196,0.354330709,98,0.422,67,116,70
34,2015-04-24T09:16:14.008000,-0.012,0.181,0.193,-0.084,-0.101,0.188,0.354330709,98,0.422,67,116,70
35,2015-04-24T09:16:14.010000,-0.007,0.193,0.201,-0.091,-0.104,0.198,0.354330709,98,0.422,67,116,70
36,2015-04-24T09:16:14.012000,-0.014,0.201,0.216,-0.091,-0.114,0.208,0.354330709,98,0.422,67,116,70
37,2015-04-24T09:16:14.014000,-0.014,0.196,0.211,-0.089,-0.111,0.203,0.338582677,98,0.422,67,116,70
38,2015-04-24T09:16:14.016000,-0.037,0.176,0.213,-0.069,-0.124,0.196,0.338582677,98,0.422,67,116,70
39,2015-04-24T09:16:14.018000,-0.004,0.201,0.206,-0.096,-0.104,0.203,0.338582677,98,0.422,67,116,70
40,2015-04-24T09:19:14.980000,0.007,-0.072,-0.079,0.032,0.044,-0.074,0.173228346,99,0.424,67,109,69
41,2015-04-24T09:19:14.982000,-0.017,-0.086,-0.069,0.052,0.027,-0.076,0.173228346,99,0.424,67,109,69
42,2015-04-24T09:19:14.984000,-0.017,-0.086,-0.069,0.052,0.027,-0.076,0.173228346,99,0.424,67,109,69
43,2015-04-24T09:19:14.986000,0,-0.081,-0.081,0.042,0.042,-0.081,0.173228346,99,0.424,67,109,69
44,2015-04-24T09:19:14.988000,-0.022,-0.081,-0.059,0.052,0.019,-0.069,0.173228346,99,0.424,67,109,69
45,2015-04-24T09:19:14.990000,-0.042,-0.099,-0.057,0.072,0.007,-0.076,0.173228346,99,0.424,67,109,69
46,2015-04-24T09:19:14.992000,0.007,-0.059,-0.067,0.027,0.037,-0.062,0.173228346,99,0.424,67,109,69
47,2015-04-24T09:19:14.994000,0.012,-0.064,-0.076,0.027,0.044,-0.069,0.173228346,99,0.424,67,109,69
48,2015-04-24T09:19:14.996000,0.047,-0.052,-0.099,0.002,0.074,-0.074,0.173228346,99,0.424,67,109,69
49,2015-04-24T09:19:14.998000,0.047,-0.062,-0.109,0.007,0.079,-0.084,0.173228346,99,0.424,67,109,69
50,2015-04-24T09:19:15.000000,0.012,-0.089,-0.101,0.039,0.057,-0.094,0.173228346,99,0.424,67,109,69
51,2015-04-24T09:19:15.002000,0.052,-0.047,-0.099,-0.002,0.076,-0.072,0.173228346,99,0.424,67,109,69
52,2015-04-24T09:19:15.004000,0.039,-0.034,-0.074,-0.002,0.057,-0.054,0.173228346,99,0.424,67,109,69
